date,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,Load_demand
10/25/2020 0:00,29.99,32,80.19,19.56,80,0.107
10/25/2020 0:15,30,32,80.19,18.41,80,0.099
10/25/2020 0:30,29.99,32,80.19,16.11,80,0.0855
10/25/2020 0:45,30,32,80.19,16.11,80,0.088
10/25/2020 1:00,30.01,32,80.19,13.81,70,0.0785
10/25/2020 1:15,30.01,32,80.19,16.11,70,0.082
10/25/2020 1:30,30,32,80.19,13.81,70,0.1005
10/25/2020 1:45,30.02,30.2,86.26,10.36,60,0.0795
10/25/2020 2:00,30.02,32,80.19,9.21,50,0.103
10/25/2020 2:15,30.04,30.2,86.26,9.21,30,0.0885
10/25/2020 2:30,30.05,30.2,86.26,9.21,30,0.125
10/25/2020 2:45,30.06,30.2,86.26,9.21,40,0.1175
10/25/2020 3:00,30.05,30.2,86.26,10.36,50,0.1435
10/25/2020 3:15,30.05,32,80.19,12.66,60,0.1465
10/25/2020 3:30,30.06,32,80.19,12.66,50,0.1345
10/25/2020 3:45,30.07,32,80.19,12.66,50,0.156
10/25/2020 4:00,30.07,33.8,80.34,12.66,50,0.1465
10/25/2020 4:15,30.07,32,80.19,9.21,30,0.146
10/25/2020 4:30,30.07,32,80.19,11.51,30,0.154
10/25/2020 4:45,30.08,32,80.19,11.51,30,0.125
10/25/2020 5:00,30.07,32,80.19,13.81,30,0.153
10/25/2020 5:15,30.07,32,86.37,13.81,40,0.1405
10/25/2020 5:30,30.08,33.8,80.34,13.81,30,0.1195
10/25/2020 5:45,30.08,33.8,80.34,14.96,40,0.1575
10/25/2020 6:00,30.08,33.8,80.34,16.11,40,0.1305
10/25/2020 6:15,30.08,33.8,80.34,13.81,40,0.118
10/25/2020 6:30,30.08,33.8,80.34,13.81,40,0.156
10/25/2020 6:45,30.09,33.8,80.34,12.66,40,0.124
10/25/2020 7:00,30.09,33.8,80.34,14.96,40,0.1165
10/25/2020 7:15,30.1,33.8,80.34,16.11,40,0.153
10/25/2020 7:30,30.11,33.8,80.34,12.66,40,0.1125
10/25/2020 7:45,30.1,33.8,80.34,16.11,40,0.1185
10/25/2020 8:00,30.1,32,86.37,13.81,40,0.335
10/25/2020 8:15,30.1,32,86.37,17.26,30,0.2125
10/25/2020 8:30,30.11,32,86.37,16.11,30,0.312
10/25/2020 8:45,30.12,32,86.37,16.11,30,0.244
10/25/2020 9:00,30.12,32,92.96,14.96,40,0.1005
10/25/2020 9:15,30.13,32,92.96,16.11,30,0.1675
10/25/2020 9:30,30.13,32,92.96,16.11,40,0.515
10/25/2020 9:45,30.13,32,86.37,17.26,30,0.2875
10/25/2020 10:00,30.13,32,92.96,18.41,30,0.66
10/25/2020 10:15,30.14,32,92.96,17.26,30,0.4775
10/25/2020 10:30,30.15,32,92.96,19.56,30,0.2695
10/25/2020 10:45,30.15,32,92.96,17.26,30,0.363
10/25/2020 11:00,30.16,32,92.96,17.26,30,0.159
10/25/2020 11:15,30.16,32,92.96,17.26,30,0.139
10/25/2020 11:30,30.16,32,92.96,19.56,30,0.1495
10/25/2020 11:45,30.17,32,92.96,16.11,30,0.14
10/25/2020 12:00,30.18,32,92.96,18.41,30,0.1465
10/25/2020 12:15,30.18,32,92.96,14.96,30,0.19
10/25/2020 12:30,30.17,32,92.96,18.41,30,0.2375
10/25/2020 12:45,30.17,32,86.37,18.41,20,0.1945
10/25/2020 13:00,30.17,32,92.96,18.41,30,0.335
10/25/2020 13:15,30.16,32,86.37,18.41,30,0.436
10/25/2020 13:30,30.16,32,92.96,19.56,30,0.525
10/25/2020 13:45,30.14,30.2,92.91,18.41,30,0.6595
10/25/2020 14:00,30.15,30.2,100,19.56,30,0.6745
10/25/2020 14:15,30.14,30.2,92.91,18.41,30,0.6275
10/25/2020 14:30,30.15,30.2,92.91,19.56,30,0.439
10/25/2020 14:45,30.13,30.2,92.91,18.41,30,0.3615
10/25/2020 15:00,30.13,30.2,92.91,19.56,20,0.4585
10/25/2020 15:15,30.14,30.2,92.91,19.56,20,0.278
10/25/2020 15:30,30.14,30.02,88.2,20.71,10,0.766
10/25/2020 15:45,30.14,28.4,92.85,21.86,20,0.852
10/25/2020 16:00,30.14,28.4,92.85,20.71,10,0.7985
10/25/2020 16:15,30.14,28.4,92.85,21.86,10,0.789
10/25/2020 16:30,30.15,28.4,92.85,21.86,20,0.4655
10/25/2020 16:45,30.16,28.4,92.85,20.71,20,0.226
10/25/2020 17:00,30.17,28.4,92.85,19.56,20,0.1435
10/25/2020 17:15,30.17,28.4,92.85,17.26,20,0.107
10/25/2020 17:30,30.19,28.4,92.85,19.56,10,0.141
10/25/2020 17:45,30.2,28.4,92.85,19.56,10,0.138
10/25/2020 18:00,30.2,28.4,86.15,19.56,10,0.267
10/25/2020 18:15,30.18,28.4,86.15,20.71,10,0.1885
10/25/2020 18:30,30.15,26.6,92.79,19.56,20,0.29
10/25/2020 18:45,30.17,26.6,92.79,24.17,10,0.2005
10/25/2020 19:00,30.2,26.6,92.79,14.96,20,0.208
10/25/2020 19:15,30.18,26.6,92.79,18.41,20,0.234
10/25/2020 19:30,30.19,26.6,92.79,19.56,10,0.396
10/25/2020 19:45,30.21,26.6,86.04,19.56,10,0.2175
10/25/2020 20:00,30.22,26.6,86.04,17.26,10,0.374
10/25/2020 20:15,30.22,26.6,86.04,18.41,20,0.1625
10/25/2020 20:30,30.23,26.6,86.04,20.71,20,0.1405
10/25/2020 20:45,30.23,26.6,79.74,20.71,20,0.2235
10/25/2020 21:00,30.25,26.6,79.74,17.26,20,0.1075
10/25/2020 21:15,30.25,26.6,79.74,16.11,20,0.184
10/25/2020 21:30,30.25,26.6,79.74,16.11,20,0.0885
10/25/2020 21:45,30.25,26.6,79.74,17.26,20,0.081
10/25/2020 22:00,30.27,26.6,79.74,18.41,10,0.088
10/25/2020 22:15,30.26,24.8,79.58,19.56,20,0.09
10/25/2020 22:30,30.26,24.8,79.58,20.71,20,0.1275
10/25/2020 22:45,30.27,24.8,79.58,18.41,10,0.127
10/25/2020 23:00,30.31,24.8,79.58,19.56,20,0.1325
10/25/2020 23:15,30.3,24.8,79.58,18.41,10,0.1315
10/25/2020 23:30,30.3,24.8,79.58,19.56,20,0.127
10/25/2020 23:45,30.31,24.8,79.58,20.71,20,0.0855
10/26/2020 0:00,30.3,24.8,79.58,18.41,20,0.146
10/26/2020 0:15,30.32,24.8,79.58,19.56,10,0.086
10/26/2020 0:30,30.29,23,85.82,20.71,20,0.1175
10/26/2020 0:45,30.31,23,85.82,20.71,10,0.1355
10/26/2020 1:00,30.31,23,85.82,16.11,10,0.0795
10/26/2020 1:15,30.3,23,85.82,23.02,10,0.146
10/26/2020 1:30,30.31,23,85.82,16.11,10,0.117
10/26/2020 1:45,30.29,23,85.82,20.71,10,0.0935
10/26/2020 2:00,30.29,23,85.82,20.71,10,0.152
10/26/2020 2:15,30.29,21.2,92.61,20.71,10,0.071
10/26/2020 2:30,30.29,21.2,92.61,21.86,10,0.1255
10/26/2020 2:45,30.3,21.2,92.61,18.41,10,0.1015
10/26/2020 3:00,30.29,21.2,85.71,23.02,10,0.088
10/26/2020 3:15,30.32,21.2,85.71,23.02,10,0.131
10/26/2020 3:30,30.32,21.2,85.71,24.17,360,0.075
10/26/2020 3:45,30.32,21.2,85.71,21.86,20,0.1255
10/26/2020 4:00,30.3,21.2,85.71,24.17,20,0.1075
10/26/2020 4:15,30.31,21.2,85.71,21.86,10,0.0825
10/26/2020 4:30,30.31,21.2,85.71,23.02,20,0.135
10/26/2020 4:45,30.3,19.4,92.55,25.32,20,0.0695
10/26/2020 5:00,30.3,19.4,85.59,23.02,10,0.123
10/26/2020 5:15,30.3,19.4,85.59,21.86,20,0.101
10/26/2020 5:30,30.3,19.4,85.59,21.86,10,0.09
10/26/2020 5:45,30.3,19.4,85.59,24.17,10,0.1295
10/26/2020 6:00,30.31,19.4,85.59,21.86,20,0.0765
10/26/2020 6:15,30.31,19.4,85.59,26.47,20,0.23
10/26/2020 6:30,30.31,19.4,85.59,19.56,20,0.1425
10/26/2020 6:45,30.33,19.4,85.59,19.56,20,0.211
10/26/2020 7:00,30.36,17.6,92.48,20.71,10,0.186
10/26/2020 7:15,30.36,17.6,92.48,21.86,20,0.1305
10/26/2020 7:30,30.34,17.6,92.48,23.02,20,0.135
10/26/2020 7:45,30.34,17.6,92.48,20.71,20,0.149
10/26/2020 8:00,30.33,17.6,85.47,23.02,20,0.1205
10/26/2020 8:15,30.31,17.6,92.48,23.02,20,0.138
10/26/2020 8:30,30.37,19.4,85.59,18.41,10,0.135
10/26/2020 8:45,30.36,19.4,85.59,18.41,20,0.135
10/26/2020 9:00,30.36,19.4,85.59,21.86,10,0.1215
10/26/2020 9:15,30.37,19.4,85.59,20.71,360,0.133
10/26/2020 9:30,30.36,19.4,85.59,19.56,360,0.1235
10/26/2020 9:45,30.34,19.4,85.59,24.17,10,0.1605
10/26/2020 10:00,30.37,19.4,85.59,19.56,360,0.121
10/26/2020 10:15,30.37,19.4,85.59,20.71,10,0.162
10/26/2020 10:30,30.38,19.4,79.1,20.71,360,0.119
10/26/2020 10:45,30.36,19.4,79.1,24.17,10,0.1365
10/26/2020 11:00,30.36,19.4,85.59,21.86,10,0.195
10/26/2020 11:15,30.35,19.4,79.1,23.02,20,0.27
10/26/2020 11:30,30.35,19.4,79.1,21.86,20,0.482
10/26/2020 11:45,30.36,19.4,85.59,19.56,20,0.56
10/26/2020 12:00,30.37,19.4,79.1,18.41,10,0.639
10/26/2020 12:15,30.37,19.4,79.1,20.71,20,0.458
10/26/2020 12:30,30.38,19.4,79.1,18.41,10,0.3265
10/26/2020 12:45,30.38,19.4,85.59,18.41,20,0.1345
10/26/2020 13:00,30.37,21.2,79.26,18.41,10,0.2315
10/26/2020 13:15,30.37,21.2,79.26,19.56,10,0.2895
10/26/2020 13:30,30.36,21.2,79.26,20.71,10,0.3865
10/26/2020 13:45,30.35,21.2,79.26,19.56,10,0.4425
10/26/2020 14:00,30.34,21.2,79.26,18.41,10,0.424
10/26/2020 14:15,30.33,21.2,79.26,19.56,10,0.359
10/26/2020 14:30,30.32,21.2,79.26,18.41,10,0.3075
10/26/2020 14:45,30.32,21.2,79.26,19.56,360,0.252
10/26/2020 15:00,30.31,21.2,79.26,17.26,10,0.305
10/26/2020 15:15,30.31,21.2,79.26,17.26,10,0.167
10/26/2020 15:30,30.31,21.2,79.26,18.41,360,0.2665
10/26/2020 15:45,30.31,21.2,79.26,16.11,350,0.2355
10/26/2020 16:00,30.31,21.2,79.26,19.56,350,0.085
10/26/2020 16:15,30.31,21.2,79.26,17.26,350,0.259
10/26/2020 16:30,30.31,21.2,79.26,17.26,350,0.453
10/26/2020 16:45,30.31,21.2,79.26,17.26,10,0.149
10/26/2020 17:00,30.31,21.2,79.26,18.41,360,0.464
10/26/2020 17:15,30.31,21.2,79.26,18.41,360,0.0915
10/26/2020 17:30,30.32,21.2,79.26,14.96,350,0.1415
10/26/2020 17:45,30.32,21.2,79.26,14.96,360,0.163
10/26/2020 18:00,30.31,21.2,79.26,16.11,360,0.1545
10/26/2020 18:15,30.31,21.2,79.26,14.96,360,0.1965
10/26/2020 18:30,30.31,21.2,79.26,14.96,360,0.258
10/26/2020 18:45,30.31,19.4,79.1,16.11,10,0.2315
10/26/2020 19:00,30.33,19.4,79.1,13.81,350,0.2995
10/26/2020 19:15,30.32,19.4,79.1,12.66,360,0.187
10/26/2020 19:30,30.33,19.4,79.1,16.11,350,0.19
10/26/2020 19:45,30.33,19.4,79.1,17.26,360,0.2665
10/26/2020 20:00,30.32,19.4,85.59,13.81,360,0.342
10/26/2020 20:15,30.32,19.4,79.1,13.81,360,0.3805
10/26/2020 20:30,30.32,19.4,79.1,14.96,350,0.566
10/26/2020 20:45,30.32,19.4,79.1,13.81,360,0.502
10/26/2020 21:00,30.34,19.4,79.1,12.66,360,0.5595
10/26/2020 21:15,30.35,19.4,79.1,12.66,350,0.4155
10/26/2020 21:30,30.34,19.4,79.1,14.96,360,0.329
